"Site ID";Nom;Pays;Vendor;Technologie;"KPI Global (%)";Statut;"KPI Dégradant";"Valeur KPI Dégradant (%)";Date
ET364;MAN_KENEDY;CI;Huawei;3G;27.32;critical;"RRC PS SR";0.15;2026-04-19
ET283;PEHE;CI;Ericsson;3G;27.54;critical;"RRC PS SR";1.45;2026-04-19
ET283;PEHE;CI;Ericsson;3G;27.54;critical;"RRC PS SR";1.45;2026-04-19
AC842;BLENIMEOUIN;CI;Huawei;3G;27.59;critical;"RRC PS SR";1.27;2026-04-19
AC842;BLENIMEOUIN;CI;Huawei;3G;27.59;critical;"RRC PS SR";1.27;2026-04-19
AC205;DUEKOUE_CENTRE;CI;Huawei;3G;27.66;critical;"RRC PS SR";0.77;2026-04-19
ET698;DOUASSO;CI;Huawei;3G;27.72;critical;"RRC PS SR";2.62;2026-04-19
ET636;CIB_BLOLEQUIN;CI;Huawei;3G;28.22;critical;"RRC PS SR";1.04;2026-04-19
ET250;DIEOUZON;CI;Huawei;3G;28.30;critical;"RRC PS SR";1.66;2026-04-19
ET703;PARIS-LEONA;CI;Huawei;3G;28.44;critical;"RRC CS SR";1.44;2026-04-19
ET599;DANANE_BELLEVILLE;CI;Huawei;3G;28.71;critical;"RRC PS SR";1.09;2026-04-19
AC856;KEIBLY;CI;Huawei;3G;28.75;critical;"RRC PS SR";1.27;2026-04-19
ET779;ZEREGBO;CI;Huawei;3G;28.77;critical;"RRC PS SR";2.26;2026-04-19
AC880;SELIEGUHE;CI;Huawei;3G;28.91;critical;"RRC PS SR";1.68;2026-04-19
ET698;DOUASSO;CI;Huawei;3G;29.07;critical;"RRC PS SR";2.20;2026-04-19
ET927;YOREDOULA;CI;Huawei;3G;29.08;critical;"RRC PS SR";0.25;2026-04-19
ET165;GUIGLO_PONAN;CI;Huawei;3G;29.27;critical;"RRC PS SR";1.25;2026-04-19
ET995;TOUBA_TP;CI;Huawei;3G;29.43;critical;"RRC PS SR";0.67;2026-04-19
ET636;CIB_BLOLEQUIN;CI;Huawei;3G;29.56;critical;"RRC PS SR";1.68;2026-04-19
ET636;CIB_BLOLEQUIN;CI;Huawei;3G;29.56;critical;"RRC PS SR";1.68;2026-04-19
ET925;SOKOURALA;CI;Huawei;3G;29.59;critical;"RRC CS SR";0.00;2026-04-19
ET714;MELAGOUINE_GOTONGOUINE;CI;Huawei;3G;29.71;critical;"RRC PS SR";3.33;2026-04-19
ET714;MELAGOUINE_GOTONGOUINE;CI;Huawei;3G;29.71;critical;"RRC PS SR";3.33;2026-04-19
ET709;KOULOUAN;CI;Huawei;3G;29.76;critical;"RRC CS SR";2.72;2026-04-19
AC837;BELLE_VILLE;CI;Huawei;3G;29.93;critical;"RRC CS SR";1.18;2026-04-19
AC207;GUIGLO;CI;Huawei;3G;29.95;critical;"RRC PS SR";0.53;2026-04-19
ET174;ANCIEN_PROZI;CI;Huawei;3G;29.96;critical;"RRC PS SR";1.12;2026-04-19
AC306;ZOUAN_HOUNIEN;CI;Huawei;3G;29.97;critical;"RRC CS SR";2.41;2026-04-19
AC427;FACOBLY;CI;Huawei;3G;30.00;critical;"RRC CS SR";0.00;2026-04-19
ET864;GBEHIGBLY;CI;Huawei;3G;30.00;critical;"RRC CS SR";0.00;2026-04-19
ET864;GBEHIGBLY;CI;Huawei;3G;30.00;critical;"RRC CS SR";0.00;2026-04-19
AC427;FACOBLY;CI;Huawei;3G;30.00;critical;"RRC CS SR";0.00;2026-04-19
ET864;GBEHIGBLY;CI;Huawei;3G;30.00;critical;"RRC CS SR";0.00;2026-04-19
AC590;CHC;CI;Huawei;3G;30.01;critical;"RRC PS SR";2.88;2026-04-19
AC949;PINHOU;CI;Huawei;3G;30.03;critical;"RRC CS SR";0.00;2026-04-19
AC949;PINHOU;CI;Huawei;3G;30.03;critical;"RRC CS SR";0.00;2026-04-19
ET262;GUEHIEBLY;CI;Huawei;3G;30.04;critical;"RRC CS SR";2.70;2026-04-19
ET242;NOUKPOUDOU_LBS;CI;Huawei;3G;30.06;critical;"RAB CS SR";0.00;2026-04-19
IM202;SAKRE;CI;Huawei;3G;30.08;critical;"RRC CS SR";0.00;2026-04-19
ET283;PEHE;CI;Ericsson;3G;30.09;critical;"RRC CS SR";0.00;2026-04-19
ET283;PEHE;CI;Ericsson;3G;30.09;critical;"RRC CS SR";0.00;2026-04-19
ET635;TINHOU;CI;Huawei;3G;30.11;critical;"RRC CS SR";0.00;2026-04-19
AC445;BLOLEQUIN;CI;Huawei;3G;30.11;critical;"RRC PS SR";1.27;2026-04-19
ET242;NOUKPOUDOU_LBS;CI;Huawei;3G;30.14;critical;"RAB CS SR";0.00;2026-04-19
ET639;FOUEDOUGOU;CI;Huawei;3G;30.14;critical;"RRC CS SR";0.00;2026-04-19
AC842;BLENIMEOUIN;CI;Huawei;3G;30.14;critical;"RRC PS SR";0.91;2026-04-19
ET639;FOUEDOUGOU;CI;Huawei;3G;30.14;critical;"RRC CS SR";0.00;2026-04-19
ET776;DAPEOUA;CI;Huawei;3G;30.17;critical;"RRC PS SR";0.58;2026-04-19
IM409;RURAL_KEITADOUGOU;CI;Huawei;3G;30.18;critical;"RRC CS SR";0.00;2026-04-19
IM409;RURAL_KEITADOUGOU;CI;Huawei;3G;30.18;critical;"RRC CS SR";0.00;2026-04-19
ET894;DUEKOUE_RESIDENTIEL;CI;Huawei;3G;30.20;critical;"RAB CS SR";0.00;2026-04-19
ET697;YORODOUGOU;CI;Huawei;3G;30.21;critical;"RRC CS SR";0.00;2026-04-19
ET843;LEDJEHAN;CI;Huawei;3G;30.22;critical;"RRC CS SR";2.52;2026-04-19
ET823;BEABLO;CI;Huawei;3G;30.23;critical;"RRC PS SR";4.15;2026-04-19
AC854;KAHIN_ZARABAON;CI;Huawei;3G;30.23;critical;"RAB CS SR";0.00;2026-04-19
AC854;KAHIN_ZARABAON;CI;Huawei;3G;30.23;critical;"RAB CS SR";0.00;2026-04-19
AC880;SELIEGUHE;CI;Huawei;3G;30.24;critical;"RRC CS SR";1.37;2026-04-19
AC880;SELIEGUHE;CI;Huawei;3G;30.24;critical;"RRC CS SR";1.37;2026-04-19
ET165;GUIGLO_PONAN;CI;Huawei;3G;30.25;critical;"RAB CS SR";0.00;2026-04-19
ET643;PINHOU-ZARABAON;CI;Ericsson;3G;30.27;critical;"RAB CS SR";0.00;2026-04-19
ET643;PINHOU-ZARABAON;CI;Ericsson;3G;30.27;critical;"RAB CS SR";0.00;2026-04-19
AC612;GBLIGLO;CI;Huawei;3G;30.29;critical;"RAB CS SR";0.00;2026-04-19
ET242;NOUKPOUDOU_LBS;CI;Huawei;3G;30.35;critical;"RAB CS SR";0.00;2026-04-19
ET234;DOKE;CI;Huawei;3G;30.38;critical;"RRC PS SR";2.35;2026-04-19
IM033;MAN_CAFOP;CI;Huawei;3G;30.39;critical;"RRC PS SR";0.23;2026-04-19
ET927;YOREDOULA;CI;Huawei;3G;30.40;critical;"RRC PS SR";0.42;2026-04-19
ET269;ZOU;CI;Huawei;3G;30.40;critical;"RAB CS SR";0.00;2026-04-19
ET269;ZOU;CI;Huawei;3G;30.40;critical;"RAB CS SR";0.00;2026-04-19
ET877;ZIOGOUINE;CI;Huawei;3G;30.41;critical;"RAB CS SR";0.00;2026-04-19
AC444;BINHOUYE;CI;Huawei;3G;30.41;critical;"RAB CS SR";0.00;2026-04-19
ET877;ZIOGOUINE;CI;Huawei;3G;30.41;critical;"RAB CS SR";0.00;2026-04-19
ET663;PODIAGOUINE;CI;Huawei;3G;30.43;critical;"RRC CS SR";0.00;2026-04-19
AC590;CHC;CI;Huawei;3G;30.45;critical;"RAB CS SR";0.00;2026-04-19
ET635;TINHOU;CI;Huawei;3G;30.48;critical;"RRC CS SR";0.00;2026-04-19
ET776;DAPEOUA;CI;Huawei;3G;30.58;critical;"RRC PS SR";0.73;2026-04-19
AC586;ZAGNE;CI;Huawei;3G;30.58;critical;"RRC PS SR";1.69;2026-04-19
ET776;DAPEOUA;CI;Huawei;3G;30.58;critical;"RRC PS SR";0.73;2026-04-19
AC586;ZAGNE;CI;Huawei;3G;30.58;critical;"RRC PS SR";1.69;2026-04-19
ET636;CIB_BLOLEQUIN;CI;Huawei;3G;30.59;critical;"RAB CS SR";0.00;2026-04-19
AC843;BLODY;CI;Huawei;3G;30.60;critical;"RRC PS SR";6.64;2026-04-19
AC843;BLODY;CI;Huawei;3G;30.60;critical;"RRC PS SR";6.64;2026-04-19
ET251;GUEZON_TAHOUAKE;CI;Huawei;3G;30.61;critical;"RAB CS SR";0.00;2026-04-19
ET250;DIEOUZON;CI;Huawei;3G;30.64;critical;"RRC PS SR";0.54;2026-04-19
AC843;BLODY;CI;Huawei;3G;30.77;critical;"RAB CS SR";0.00;2026-04-19
ET823;BEABLO;CI;Huawei;3G;30.78;critical;"RAB CS SR";0.00;2026-04-19
ET823;BEABLO;CI;Huawei;3G;30.78;critical;"RAB CS SR";0.00;2026-04-19
ET682;SANTA;CI;Huawei;3G;30.79;critical;"RRC PS SR";1.11;2026-04-19
AC829;BAHE_SEBON;CI;Huawei;3G;30.79;critical;"RAB CS SR";0.00;2026-04-19
ET682;SANTA;CI;Huawei;3G;30.79;critical;"RRC PS SR";1.11;2026-04-19
ET129;TCHETALY;CI;Huawei;3G;30.81;critical;"RRC CS SR";2.61;2026-04-19
AC856;KEIBLY;CI;Huawei;3G;30.88;critical;"RRC PS SR";1.35;2026-04-19
ET130;WONSEALY_V2;CI;Huawei;3G;30.93;critical;"RRC CS SR";0.69;2026-04-19
AC444;BINHOUYE;CI;Huawei;3G;30.98;critical;"RAB CS SR";0.00;2026-04-19
ET129;TCHETALY;CI;Huawei;3G;31.00;critical;"RRC CS SR";3.61;2026-04-19
ET161;GLANGLEU;CI;Huawei;3G;31.03;critical;"Chute CS";0.00;2026-04-19
AC290;MAN;CI;Huawei;3G;31.03;critical;"RRC PS SR";1.81;2026-04-19
ET161;GLANGLEU;CI;Huawei;3G;31.03;critical;"Chute CS";0.00;2026-04-19
ET161;GLANGLEU;CI;Huawei;3G;31.07;critical;"RAB CS SR";0.00;2026-04-19
ET250;DIEOUZON;CI;Huawei;3G;31.17;critical;"RRC PS SR";0.76;2026-04-19
