id,name,country_code,latitude,longitude,vendor,technology,region,localite,,,,,,,,,,,,,,
IM009,ABOBO_AKEIKOI-GESPERE,CI,5.446990,-4.015667,ERICSSON,2G,ABIDJAN,ABOBO,,,,,,,,,,,,,,
IM009,ABOBO_AKEIKOI-GESPERE,CI,5.446990,-4.015667,ERICSSON,2G,ABIDJAN,ABOBO,,,,,,,,,,,,,,
IM009,ABOBO_AKEIKOI-GESPERE,CI,5.446990,-4.015667,ERICSSON,2G,ABIDJAN,ABOBO,,,,,,,,,,,,,,
IM372,DIVO_PLATEAU,CI,5.849461,-5.373467,ERICSSON,2G,LOH-DJIBOUA,DIVO,,,,,,,,,,,,,,
IM372,DIVO_PLATEAU,CI,5.849461,-5.373467,ERICSSON,2G,LOH-DJIBOUA,DIVO,,,,,,,,,,,,,,
IM372,DIVO_PLATEAU,CI,5.849461,-5.373467,ERICSSON,2G,LOH-DJIBOUA,DIVO,,,,,,,,,,,,,,
IM372,DIVO_PLATEAU,CI,5.849461,-5.373467,ERICSSON,2G,LOH-DJIBOUA,DIVO,,,,,,,,,,,,,,
IM372,DIVO_PLATEAU,CI,5.849461,-5.373467,ERICSSON,2G,LOH-DJIBOUA,DIVO,,,,,,,,,,,,,,
IM372,DIVO_PLATEAU,CI,5.849461,-5.373467,ERICSSON,2G,LOH-DJIBOUA,DIVO,,,,,,,,,,,,,,
IM300,BANDAKAGNI-TOMORA,CI,8.010505,-3.306257,ERICSSON,2G,GONTOUGO,BANDAKAGNI-TOMORA,,,,,,,,,,,,,,
IM300,BANDAKAGNI-TOMORA,CI,8.010505,-3.306257,ERICSSON,2G,GONTOUGO,BANDAKAGNI-TOMORA,,,,,,,,,,,,,,
IM300,BANDAKAGNI-TOMORA,CI,8.010505,-3.306257,ERICSSON,2G,GONTOUGO,BANDAKAGNI-TOMORA,,,,,,,,,,,,,,
IM300,BANDAKAGNI-TOMORA,CI,8.010505,-3.306257,ERICSSON,2G,GONTOUGO,BANDAKAGNI-TOMORA,,,,,,,,,,,,,,
IM300,BANDAKAGNI-TOMORA,CI,8.010505,-3.306257,ERICSSON,2G,GONTOUGO,BANDAKAGNI-TOMORA,,,,,,,,,,,,,,
IM300,BANDAKAGNI-TOMORA,CI,8.010505,-3.306257,ERICSSON,2G,GONTOUGO,BANDAKAGNI-TOMORA,,,,,,,,,,,,,,
IM422,ABENG_MBSC,CI,6.735528,-3.477898,ERICSSON,2G,INDENIE-DJUABLIN,ABENGOUROU,,,,,,,,,,,,,,
IM422,ABENG_MBSC,CI,6.735528,-3.477898,ERICSSON,2G,INDENIE-DJUABLIN,ABENGOUROU,,,,,,,,,,,,,,
IM422,ABENG_MBSC,CI,6.735528,-3.477898,ERICSSON,2G,INDENIE-DJUABLIN,ABENGOUROU,,,,,,,,,,,,,,
IM422,ABENG_MBSC,CI,6.735528,-3.477898,ERICSSON,2G,INDENIE-DJUABLIN,ABENGOUROU,,,,,,,,,,,,,,
IM422,ABENG_MBSC,CI,6.735528,-3.477898,ERICSSON,2G,INDENIE-DJUABLIN,ABENGOUROU,,,,,,,,,,,,,,
IM422,ABENG_MBSC,CI,6.735528,-3.477898,ERICSSON,2G,INDENIE-DJUABLIN,ABENGOUROU,,,,,,,,,,,,,,
IM371,ANGRE_ 40ème_ARRDT,CI,5.422730,-3.977848,ERICSSON,2G,ABIDJAN,COCODY,,,,,,,,,,,,,,
IM371,ANGRE_ 40ème_ARRDT,CI,5.422730,-3.977848,ERICSSON,2G,ABIDJAN,COCODY,,,,,,,,,,,,,,
IM371,ANGRE_ 40ème_ARRDT,CI,5.422730,-3.977848,ERICSSON,2G,ABIDJAN,COCODY,,,,,,,,,,,,,,
IM371,ANGRE_ 40ème_ARRDT,CI,5.422730,-3.977848,ERICSSON,2G,ABIDJAN,COCODY,,,,,,,,,,,,,,
IM371,ANGRE_ 40ème_ARRDT,CI,5.422730,-3.977848,ERICSSON,2G,ABIDJAN,COCODY,,,,,,,,,,,,,,
IM371,ANGRE_ 40ème_ARRDT,CI,5.422730,-3.977848,ERICSSON,2G,ABIDJAN,COCODY,,,,,,,,,,,,,,
IM298,ATTIEKOI,CI,5.541127,-3.968577,ERICSSON,2G,ABIDJAN,ATTIEKOI,,,,,,,,,,,,,,
IM298,ATTIEKOI,CI,5.541127,-3.968577,ERICSSON,2G,ABIDJAN,ATTIEKOI,,,,,,,,,,,,,,
IM298,ATTIEKOI,CI,5.541127,-3.968577,ERICSSON,2G,ABIDJAN,ATTIEKOI,,,,,,,,,,,,,,
IM298,ATTIEKOI,CI,5.541127,-3.968577,ERICSSON,2G,ABIDJAN,ATTIEKOI,,,,,,,,,,,,,,
IM298,ATTIEKOI,CI,5.541127,-3.968577,ERICSSON,2G,ABIDJAN,ATTIEKOI,,,,,,,,,,,,,,
IM298,ATTIEKOI,CI,5.541127,-3.968577,ERICSSON,2G,ABIDJAN,ATTIEKOI,,,,,,,,,,,,,,
IM381,BINGES_COLIBRI,CI,5.360441,-3.856056,ERICSSON,2G,ABIDJAN,BINGERVILLE,,,,,,,,,,,,,,
IM381,BINGES_COLIBRI,CI,5.360441,-3.856056,ERICSSON,2G,ABIDJAN,BINGERVILLE,,,,,,,,,,,,,,
IM381,BINGES_COLIBRI,CI,5.360441,-3.856056,ERICSSON,2G,ABIDJAN,BINGERVILLE,,,,,,,,,,,,,,
IM381,BINGES_COLIBRI,CI,5.360441,-3.856056,ERICSSON,2G,ABIDJAN,BINGERVILLE,,,,,,,,,,,,,,
IM381,BINGES_COLIBRI,CI,5.360441,-3.856056,ERICSSON,2G,ABIDJAN,BINGERVILLE,,,,,,,,,,,,,,
IM381,BINGES_COLIBRI,CI,5.360441,-3.856056,ERICSSON,2G,ABIDJAN,BINGERVILLE,,,,,,,,,,,,,,
IM444,TIAPLE_R,CI,10.0981,-5.38839,HUAWEI,2G,TCHOLOGO,TIAPLE,,,,,,,,,,,,,,
IM465,GNABELEKAHA_R,CI,9.6154,-5.4204,HUAWEI,2G,PORO,GNABELEKAHA,,,,,,,,,,,,,,
IM448,KAFOUDOUGOU-BAMBARASSO_R,CI,8.464018,-4.389672,HUAWEI,2G,HAMBOL,KAFOUDOUGOU-BAMBARASSO,,,,,,,,,,,,,,
IM448,KAFOUDOUGOU-BAMBARASSO_R,CI,8.464018,-4.389672,HUAWEI,2G,HAMBOL,KAFOUDOUGOU-BAMBARASSO,,,,,,,,,,,,,,
IM448,KAFOUDOUGOU-BAMBARASSO_R,CI,8.464018,-4.389672,HUAWEI,2G,HAMBOL,KAFOUDOUGOU-BAMBARASSO,,,,,,,,,,,,,,
IM449,SAMASSOGOSSO_R,CI,8.517465,-4.342136,HUAWEI,2G,HAMBOL,SAMASSOGOSSO,,,,,,,,,,,,,,
IM449,SAMASSOGOSSO_R,CI,8.517465,-4.342136,HUAWEI,2G,HAMBOL,SAMASSOGOSSO,,,,,,,,,,,,,,
IM449,SAMASSOGOSSO_R,CI,8.517465,-4.342136,HUAWEI,2G,HAMBOL,SAMASSOGOSSO,,,,,,,,,,,,,,
IM452,PHCIE_MAMIE-ADJOUA,CI,5.358172,-4.095059,ERICSSON,2G,ABIDJAN,YOPOUGON,,,,,,,,,,,,,,
IM452,PHCIE_MAMIE-ADJOUA,CI,5.358172,-4.095059,ERICSSON,2G,ABIDJAN,YOPOUGON,,,,,,,,,,,,,,
IM452,PHCIE_MAMIE-ADJOUA,CI,5.358172,-4.095059,ERICSSON,2G,ABIDJAN,YOPOUGON,,,,,,,,,,,,,,
IM452,PHCIE_MAMIE-ADJOUA,CI,5.358172,-4.095059,ERICSSON,2G,ABIDJAN,YOPOUGON,,,,,,,,,,,,,,
IM452,PHCIE_MAMIE-ADJOUA,CI,5.358172,-4.095059,ERICSSON,2G,ABIDJAN,YOPOUGON,,,,,,,,,,,,,,
IM452,PHCIE_MAMIE-ADJOUA,CI,5.358172,-4.095059,ERICSSON,2G,ABIDJAN,YOPOUGON,,,,,,,,,,,,,,
IM369,PLT_MINI_INTERIEUR,CI,5.335210,-4.020818,ERICSSON,2G,ABIDJAN,PLATEAU,,,,,,,,,,,,,,
IM369,PLT_MINI_INTERIEUR,CI,5.335210,-4.020818,ERICSSON,2G,ABIDJAN,PLATEAU,,,,,,,,,,,,,,
IM369,PLT_MINI_INTERIEUR,CI,5.335210,-4.020818,ERICSSON,2G,ABIDJAN,PLATEAU,,,,,,,,,,,,,,
IM369,PLT_MINI_INTERIEUR,CI,5.335210,-4.020818,ERICSSON,2G,ABIDJAN,PLATEAU,,,,,,,,,,,,,,
IM369,PLT_MINI_INTERIEUR,CI,5.335210,-4.020818,ERICSSON,2G,ABIDJAN,PLATEAU,,,,,,,,,,,,,,
IM369,PLT_MINI_INTERIEUR,CI,5.335210,-4.020818,ERICSSON,2G,ABIDJAN,PLATEAU,,,,,,,,,,,,,,
IM428,DUOKRO_R,CI,6.66721,-5.23441,HUAWEI,2G,YAMOUSSOUKRO,DUOKRO,,,,,,,,,,,,,,
IM428,DUOKRO_R,CI,6.66721,-5.23441,HUAWEI,2G,YAMOUSSOUKRO,DUOKRO,,,,,,,,,,,,,,
IM428,DUOKRO_R,CI,6.66721,-5.23441,HUAWEI,2G,YAMOUSSOUKRO,DUOKRO,,,,,,,,,,,,,,
IM426,DIABOUO_R,CI,5.979312,-6.065227,HUAWEI,2G,GOH,DIABOUO,,,,,,,,,,,,,,
IM426,DIABOUO_R,CI,5.979312,-6.065227,HUAWEI,2G,GOH,DIABOUO,,,,,,,,,,,,,,
IM426,DIABOUO_R,CI,5.979312,-6.065227,HUAWEI,2G,GOH,DIABOUO,,,,,,,,,,,,,,
IM392,TENEFERO_R,CI,7.757967,-6.592148,HUAWEI,2G,HAUT-SASSANDRA,TENEFERO,,,,,,,,,,,,,,
IM319,KOUM_LMK,CI,5.312227,-3.945181,ERICSSON,2G,ABIDJAN,KOUMASSI,,,,,,,,,,,,,,
